record_id,date,hospital_name,department,hospital_type,city,ward,weekend_flag,holiday_flag,season,disease_outbreak_flag,total_beds,occupied_beds,reserved_beds,available_beds,emergency_beds,ICU_beds,ICU_occupied,ventilators_available,daily_admissions,daily_discharge,emergency_cases,staff_on_duty,nurses_on_duty,doctors_on_duty,average_length_of_stay,patient_turnover_rate,occupancy_rate,mortality_rate,infection_rate,temperature
HBO-000723,2024-01-25,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,32.0,25.0,2.0,5.0,2.0,4.0,3.0,1.0,4.0,4.0,19.0,15.0,8.0,2.0,2.79,16.375,78.12,1.4,1.14,14.7
HBO-000753,2024-01-26,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,44.0,28.0,3.0,13.0,3.0,5.0,3.0,4.0,10.0,9.0,4.0,17.0,9.0,4.0,1.85,20.45,69.06,0.85,6.17,12.5
HBO-000783,2024-01-27,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,70.0,42.0,1.0,27.0,4.0,8.0,6.0,5.0,7.0,5.0,9.0,15.0,9.0,2.0,1.44,16.375,60.0,0.58,3.56,20.9
HBO-000813,2024-01-28,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,55.0,43.0,2.0,10.0,3.0,7.0,6.0,2.0,8.0,10.0,11.0,13.0,5.0,3.0,2.47,18.18,78.18,1.47,5.5,21.0
HBO-000843,2024-01-29,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,70.0,49.0,5.0,16.0,4.0,8.0,5.0,5.0,7.0,3.0,7.0,22.0,13.0,3.3591370558375635,3.6,4.29,70.0,0.42,1.24,19.2
HBO-000873,2024-01-30,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,60.0,46.0,4.0,10.0,4.0,7.0,6.0,3.0,9.0,6.0,10.0,16.89328537170264,14.0,6.0,5.86,10.0,76.67,0.28,2.11,20.65
HBO-000903,2024-01-31,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,52.0,37.0,2.0,13.0,3.0,6.0,6.0,3.0,8.0,4.0,8.0,19.0,10.566204287515763,4.0,3.49,7.69,74.275,9.04,5.15,22.1
HBO-000933,2024-02-01,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,64.0,46.0,4.0,14.0,4.0,8.0,6.0,3.0,9.0,6.0,8.0,26.0,15.0,5.0,3.74,9.38,71.88,0.12,3.06,20.8
HBO-000963,2024-02-02,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,44.0,31.0,1.0,12.0,3.0,5.0,3.0,4.0,6.0,8.0,17.0,15.0,10.566204287515763,3.3591370558375635,4.97,18.18,70.45,1.46,4.35,21.5
HBO-000993,2024-02-03,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,70.0,53.0,4.0,13.0,4.0,8.0,8.0,5.0,7.0,4.0,9.0,19.0,13.0,3.0,3.6,5.71,75.71,7.19,0.79,21.2
HBO-001023,2024-02-04,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,57.0,32.0,2.0,23.0,3.0,7.0,4.0,6.0,8.0,12.0,11.0,11.0,6.0,2.0,6.53,21.05,56.14,2.27,3.47,19.9
HBO-001053,2024-02-05,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,54.0,38.0,1.0,15.0,3.0,6.0,4.0,3.0,8.0,10.0,7.0,16.89328537170264,12.0,4.0,1.25,18.52,70.37,2.98,0.93,22.5
HBO-001083,2024-02-06,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,57.0,41.0,4.0,12.0,3.0,7.0,7.0,5.0,4.0,0.0,5.0,18.0,11.0,4.0,10.71,0.0,71.93,4.13,0.83,20.7
HBO-001113,2024-02-07,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,42.0,32.0,2.0,8.0,3.0,5.0,5.0,2.0,5.0,8.0,10.0,19.0,12.0,5.0,3.92,16.375,76.19,1.4,4.98,20.1
HBO-001143,2024-02-08,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,34.0,27.0,2.0,5.0,2.0,4.0,3.0,3.0,13.0,16.0,7.0,14.0,7.0,3.0,1.22,47.06,79.41,2.3,4.72,21.0
HBO-001173,2024-02-09,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,52.0,43.0,3.0,6.0,3.0,6.0,6.0,0.0,6.0,5.0,8.0,23.0,14.0,4.0,4.74,9.62,82.69,0.1,3.1,21.45
HBO-001203,2024-02-10,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,57.0,44.0,4.0,9.0,3.0,7.0,5.0,3.0,7.0,10.0,12.0,19.0,11.0,3.0,3.5,17.54,77.06,3.47,1.6,21.9
HBO-001233,2024-02-11,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,42.0,30.0,2.0,10.0,3.0,5.0,3.0,4.0,14.0,16.0,8.0,12.0,6.0,2.0,3.39,38.1,71.43,4.69,0.33,24.8
HBO-001263,2024-02-12,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,61.0,34.0,4.0,23.0,4.0,7.0,4.0,3.0,6.0,10.0,13.0,17.0,12.0,4.0,2.73,16.39,55.74,0.42,1.59,21.1
HBO-001293,2024-02-13,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,49.0,32.0,2.0,15.0,3.0,6.0,4.0,3.0,4.0,0.0,7.0,17.0,10.0,3.3591370558375635,3.89,16.375,65.31,1.14,0.79,22.1
HBO-001323,2024-02-14,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,53.0,37.0,2.0,14.0,3.0,6.0,5.0,1.0,7.0,5.0,10.0,20.0,12.0,4.0,1.33,9.43,69.81,1.31,5.94,23.1
HBO-001353,2024-02-15,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,41.0,28.0,2.0,11.0,2.0,5.0,5.0,2.0,5.0,3.0,7.0,16.89328537170264,11.0,5.0,5.49,7.32,68.29,2.3,6.89,22.4
HBO-001383,2024-02-16,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,1.0,Winter,0.0,50.0,33.0,2.0,15.0,3.0,6.0,4.0,4.0,7.0,8.0,10.0,19.0,12.0,4.0,5.12,16.0,66.0,3.53,4.25,22.25
HBO-001413,2024-02-17,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,38.0,28.0,1.0,9.0,2.0,5.0,4.0,2.0,9.0,11.0,6.0,13.0,10.566204287515763,2.0,1.45,28.95,73.68,6.19,0.63,22.1
HBO-001443,2024-02-18,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,40.0,32.0,1.0,7.0,2.0,5.0,3.0,2.0,10.0,10.0,10.0,16.89328537170264,11.0,3.0,0.6,25.0,80.0,8.93,2.12,24.7
HBO-001473,2024-02-19,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,53.0,39.0,2.0,12.0,3.0,6.0,6.0,4.0,8.0,5.0,7.0,22.0,14.0,5.0,0.5,16.375,73.58,1.91,1.37,20.5
HBO-001503,2024-02-20,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,66.0,46.0,2.0,18.0,4.0,8.0,6.0,3.0,8.5,11.0,11.0,25.0,14.0,5.0,3.01,16.67,69.7,1.47,1.24,20.6
HBO-001533,2024-02-21,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,62.0,47.0,4.0,11.0,4.0,7.0,5.0,3.0,9.0,6.0,18.0,24.0,14.0,5.0,8.57,9.68,75.81,1.04,1.93,22.0
HBO-001563,2024-02-22,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,45.0,33.0,4.0,8.0,3.0,5.0,4.0,1.0,7.0,9.0,11.0,16.0,11.0,3.3591370558375635,4.97,20.0,73.33,2.3,0.09,21.5
HBO-001593,2024-02-23,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,51.0,37.0,2.0,12.0,3.0,6.0,4.0,2.0,16.0,12.0,10.0,14.0,8.0,3.0,3.8,23.53,72.55,0.63,4.09,23.3
HBO-001623,2024-02-24,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,60.0,43.0,3.0,14.0,4.0,7.0,5.0,5.0,6.0,8.0,4.0,15.0,9.0,4.0,6.72,13.33,71.67,0.97,2.48,20.0
HBO-001653,2024-02-25,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,58.0,45.0,2.0,11.0,3.0,7.0,6.0,2.0,5.0,2.0,9.0,15.0,11.0,3.0,3.45,3.45,75.46333333333334,2.41,3.06,24.0
HBO-001683,2024-02-26,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,48.0,36.0,3.0,9.0,3.0,6.0,5.0,3.0,9.0,4.5,12.0,21.0,11.0,4.0,3.6,16.375,79.25666666666666,2.3,1.71,23.7
HBO-001713,2024-02-27,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,59.0,49.0,2.0,8.0,4.0,7.0,6.0,3.0,7.0,7.0,9.0,20.0,11.0,4.0,7.71,16.375,83.05,1.09,1.51,23.9
HBO-001743,2024-02-28,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,58.0,40.0,3.0,15.0,3.0,7.0,4.0,5.0,6.0,8.0,9.0,18.0,12.0,4.0,3.41,13.79,68.97,7.02,2.04,23.1
HBO-001773,2024-02-29,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,41.0,30.0,1.0,10.0,2.0,5.0,4.0,2.0,8.0,6.0,9.0,17.0,10.0,4.0,9.84,14.63,73.485,2.3,6.02,25.0
HBO-001803,2024-03-01,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,50.0,39.0,3.0,8.0,3.0,6.0,4.0,5.0,10.0,8.0,10.0,14.0,7.0,3.0,3.63,16.0,78.0,1.89,1.84,23.0
HBO-001833,2024-03-02,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Spring,0.0,43.0,29.0,2.0,12.0,3.0,5.0,4.0,2.0,19.0,19.0,8.0,12.0,10.566204287515763,3.0,8.08,44.19,67.44,0.92,2.74,18.1
HBO-001863,2024-03-03,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Spring,0.0,66.0,55.0,4.0,7.0,4.0,8.0,6.0,3.0,7.0,11.0,6.0,19.0,12.0,3.0,0.77,16.67,83.33,11.12,0.69,24.2
HBO-001893,2024-03-04,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,42.0,31.0,3.0,8.0,3.0,5.0,5.0,2.0,7.0,11.5,7.0,16.89328537170264,11.0,3.3591370558375635,2.35,11.9,73.81,1.96,2.29,23.9
HBO-001923,2024-03-05,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,35.0,30.0,2.0,3.0,2.0,4.0,4.0,2.0,9.0,12.0,13.0,20.0,16.0,3.3591370558375635,2.96,34.29,85.71,3.03,7.66,24.9
HBO-001953,2024-03-06,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,36.0,22.0,2.0,12.0,2.0,4.0,2.0,5.0,9.0,11.0,9.0,14.0,10.0,2.0,3.6,30.56,61.11,0.76,2.84,19.7
HBO-001983,2024-03-07,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,53.0,40.0,4.0,9.0,3.0,6.0,4.0,3.0,8.0,7.0,8.0,18.0,12.0,4.0,1.71,13.21,75.47,5.78,2.23,27.7
HBO-002013,2024-03-08,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,59.0,43.0,3.0,13.0,4.0,7.0,5.0,2.0,11.0,13.0,9.0,22.0,14.0,5.0,3.6,22.03,72.88,1.91,6.77,24.6
HBO-002043,2024-03-09,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Spring,0.0,71.0,56.0,3.0,12.0,4.0,9.0,7.0,4.0,11.0,14.0,9.0,22.0,13.0,4.0,0.9,11.27,78.87,0.08,3.06,22.7
HBO-002073,2024-03-10,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Spring,0.0,34.0,24.0,1.0,9.0,2.0,4.0,3.0,2.0,11.0,15.0,9.0,16.0,9.0,3.0,0.87,44.12,70.59,2.3,3.06,27.0
HBO-002103,2024-03-11,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,46.0,33.0,1.0,12.0,3.0,6.0,4.0,2.0,9.0,11.0,9.0,19.0,12.0,3.0,0.92,23.91,71.74,2.3,7.0,25.9
HBO-002133,2024-03-12,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,50.0,33.0,3.0,14.0,3.0,6.0,4.0,3.0,8.0,7.0,12.0,17.0,8.0,3.0,4.16,14.0,71.255,1.15,1.95,27.1
HBO-002163,2024-03-13,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,65.0,46.0,3.0,16.0,4.0,8.0,6.0,2.0,8.0,5.0,10.0,23.0,13.0,6.0,5.2,7.69,70.77,2.39,3.16,27.9
HBO-002193,2024-03-14,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,44.0,34.0,1.0,9.0,3.0,5.0,5.0,1.0,8.0,9.5,1.0,20.0,12.0,4.0,8.51,25.0,77.27,0.72,15.0,22.2
HBO-002223,2024-03-15,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,54.0,40.0,3.0,11.0,3.0,6.0,5.0,3.0,10.0,14.0,5.0,22.0,14.0,3.3591370558375635,4.39,16.375,74.07,5.87,1.23,24.049999999999997
HBO-002253,2024-03-16,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Spring,0.0,59.0,45.0,2.0,12.0,4.0,7.0,6.0,3.0,3.0,7.0,7.0,20.0,13.0,4.0,6.67,11.86,76.27,1.41,8.4,25.9
HBO-002283,2024-03-17,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Spring,0.0,64.0,48.0,1.0,15.0,4.0,8.0,6.0,2.0,13.0,10.0,9.0,19.0,11.0,4.0,1.7,16.375,75.0,3.84,0.15,28.5
HBO-002313,2024-03-18,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,66.0,57.0,4.0,5.0,4.0,8.0,7.0,1.0,8.0,8.0,8.0,25.0,15.0,5.0,4.76,16.375,86.36,3.45,0.26,22.0
HBO-002343,2024-03-19,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,34.0,21.0,1.0,12.0,2.0,4.0,2.0,4.0,3.0,4.0,8.0,16.0,9.0,4.0,4.83,11.76,61.76,1.94,1.88,23.4
HBO-002373,2024-03-20,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,52.0,39.0,4.0,9.0,3.0,6.0,3.0,3.0,5.0,13.0,13.0,18.0,12.0,4.0,3.01,16.375,75.0,10.34,5.69,26.5
HBO-002403,2024-03-21,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,56.0,42.0,3.0,11.0,3.0,7.0,6.0,1.0,7.0,14.0,18.0,19.0,12.0,3.0,1.51,16.375,75.0,1.98,1.68,22.8
HBO-002433,2024-03-22,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,1.0,Spring,0.0,43.0,34.0,3.0,6.0,3.0,5.0,4.0,4.0,13.0,15.0,16.0,13.0,7.0,2.0,3.2,34.88,79.07,7.09,7.44,25.2
HBO-002463,2024-03-23,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Spring,0.0,52.0,36.0,3.0,13.0,3.0,6.0,4.0,2.0,8.0,12.0,12.0,17.0,10.0,4.0,4.48,7.69,69.23,2.3,3.06,27.6
HBO-002493,2024-03-24,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Spring,0.0,60.0,44.0,2.0,14.0,4.0,7.0,5.0,5.0,6.5,9.0,9.0,16.0,10.0,3.0,7.98,16.375,69.91,3.6,1.59,27.3
HBO-002523,2024-03-25,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,51.0,36.0,2.0,13.0,3.0,6.0,4.0,5.0,5.0,3.0,6.0,16.0,10.0,2.0,3.19,16.375,70.59,3.7,5.58,30.7
HBO-002553,2024-03-26,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,49.0,37.0,2.0,10.0,3.0,6.0,6.0,1.0,4.0,6.0,10.0,19.0,12.0,4.0,3.6,12.24,75.51,5.93,4.34,28.4
HBO-002583,2024-03-27,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,52.0,40.0,1.0,11.0,3.0,6.0,4.0,4.0,5.0,3.0,14.0,23.0,15.0,6.0,5.19,5.77,76.92,0.36,6.37,28.6
HBO-002613,2024-03-28,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,47.0,36.0,3.0,8.0,3.0,6.0,5.0,1.0,7.0,6.0,3.0,20.0,13.0,4.0,9.96,16.375,76.6,3.84,0.97,26.4
HBO-002643,2024-03-29,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,44.0,36.0,1.0,7.0,3.0,5.0,4.0,3.0,10.0,11.0,10.0,20.0,12.0,4.0,3.06,25.0,71.975,2.23,0.73,28.7
HBO-002673,2024-03-30,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Spring,0.0,49.0,33.0,4.0,12.0,3.0,6.0,3.0,6.0,13.0,9.0,9.0,17.0,10.0,2.0,2.76,18.37,67.35,2.3,5.53,29.4
HBO-002703,2024-03-31,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Spring,0.0,61.0,42.0,3.0,16.0,4.0,7.0,4.0,6.0,9.0,9.0,9.0,16.0,10.0,3.0,1.74,16.375,68.85,4.69,3.06,28.0
HBO-002733,2024-04-01,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,69.0,47.0,4.0,18.0,4.0,8.0,6.0,3.0,12.0,11.0,8.0,21.0,13.0,4.0,0.75,15.94,68.12,0.22,3.88,28.5
HBO-002763,2024-04-02,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,48.0,33.0,3.0,12.0,3.0,6.0,4.0,5.0,7.0,5.0,5.0,17.0,11.0,4.0,0.5,10.42,68.75,2.56,1.22,29.95
HBO-002793,2024-04-03,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,1.0,Spring,0.0,46.0,37.0,2.0,7.0,3.0,6.0,4.0,2.0,8.0,4.0,10.0,16.89328537170264,13.0,4.0,2.59,8.7,80.43,0.9,5.61,31.4
HBO-002823,2024-04-04,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Spring,0.0,59.0,42.0,2.0,15.0,4.0,7.0,5.0,4.0,8.0,8.0,7.0,22.0,13.0,5.0,2.13,13.56,71.19,1.16,3.01,25.6
