record_id,date,hospital_name,department,hospital_type,city,ward,weekend_flag,holiday_flag,season,disease_outbreak_flag,total_beds,occupied_beds,reserved_beds,available_beds,emergency_beds,ICU_beds,ICU_occupied,ventilators_available,daily_admissions,daily_discharge,emergency_cases,staff_on_duty,nurses_on_duty,doctors_on_duty,average_length_of_stay,patient_turnover_rate,occupancy_rate,mortality_rate,infection_rate,temperature,ICU_occupancy_rate,bed_utilization_ratio,admission_discharge_ratio,staff_to_patient_ratio,nurse_to_patient_ratio,doctor_to_patient_ratio,emergency_pressure_index,bed_shortage_flag,high_occupancy_flag,critical_occupancy_flag,seven_day_rolling_occupancy,fourteen_day_rolling_occupancy,occupancy_lag_1,occupancy_lag_7,admissions_lag_1,discharge_lag_1,hospital_average_occupancy,department_average_occupancy,monthly_average_occupancy,weekend_staffing_gap,outbreak_pressure_score,seasonal_demand_index
HBO-000303,2024-01-11,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,61.0,45.0,2.0,14.0,4.0,7.0,6.0,3.0,11.0,13.0,11.0,20.0,13.0,4.0,3.13,21.31,73.77049180327869,0.5,0.28,20.4,85.71428571428571,0.7704918032786885,0.8461538461538461,0.4444444444444444,0.28888888888888886,0.08888888888888889,2.75,0,0,0,71.46776684897593,68.64107315791952,71.15384615384616,69.38775510204081,8.0,7.0,68.64107315791952,68.64107315791952,68.64107315791952,0.0,0.0,1.0
HBO-000333,2024-01-12,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,47.0,37.0,2.0,8.0,3.0,6.0,4.0,2.0,8.333333333333334,8.0,7.0,21.0,12.0,4.0,5.22,17.02,78.72340425531915,2.87,2.12,18.7,66.66666666666666,0.8297872340425532,1.0416666666666667,0.5675675675675675,0.32432432432432434,0.10810810810810811,2.3333333333333335,0,0,0,72.0938720920099,69.10738394386125,73.77049180327869,65.45454545454545,11.0,13.0,69.10738394386127,69.10738394386127,69.10738394386127,0.0,0.0,1.0
HBO-000363,2024-01-13,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,63.0,42.0,5.0,16.0,4.0,8.0,5.0,4.0,5.666666666666667,10.0,13.0,19.0,13.0,4.0,4.19,15.87,66.66666666666666,1.53,3.41,17.1,62.5,0.746031746031746,0.5666666666666667,0.4523809523809524,0.30952380952380953,0.09523809523809523,3.25,0,0,0,73.9894233492633,69.90871896981609,78.72340425531915,72.97297297297297,8.333333333333334,8.0,69.90871896981609,69.90871896981609,69.90871896981609,0.0,0.0,1.0
HBO-000393,2024-01-14,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,49.0,33.0,3.0,13.0,3.0,6.0,4.0,3.0,3.0,0.0,13.0,13.0,10.566204287515763,3.3591370558375635,3.59,0.0,67.3469387755102,0.24,4.82,18.8,66.66666666666666,0.7346938775510204,3.0,0.3939393939393939,0.3201880087125989,0.10179203199507768,4.333333333333333,0,0,0,73.0885224483624,69.65933033111229,66.66666666666666,79.59183673469387,5.666666666666667,10.0,69.65933033111229,69.65933033111229,69.65933033111229,3.893285371702639,0.0,1.0
HBO-000423,2024-01-15,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,47.0,34.0,3.0,10.0,3.0,6.0,4.0,3.0,7.0,11.0,10.0,21.0,14.0,5.0,3.99,23.4,72.3404255319149,7.9,8.65,18.1,66.66666666666666,0.7872340425531915,0.6363636363636364,0.6176470588235294,0.4117647058823529,0.14705882352941177,3.3333333333333335,0,0,0,71.33925131133616,69.49415950571213,67.3469387755102,66.0377358490566,3.0,0.0,69.49415950571213,69.49415950571213,69.49415950571213,0.0,0.0,1.0
HBO-000453,2024-01-16,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,72.0,54.0,3.0,15.0,4.0,9.0,7.0,4.0,5.0,6.0,9.0,21.0,14.0,4.0,3.58,8.33,75.0,0.13,2.24,17.4,77.77777777777779,0.7916666666666666,0.8333333333333334,0.3888888888888889,0.25925925925925924,0.07407407407407407,2.25,0,0,0,72.23963555174448,70.37561847227748,72.3404255319149,75.67567567567568,7.0,11.0,69.68391057412565,69.68391057412565,69.68391057412565,0.0,0.0,1.0
HBO-000483,2024-01-17,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,54.0,38.0,4.0,12.0,3.0,6.0,4.0,4.0,13.0,12.0,11.0,20.0,13.0,4.0,5.43,22.22,70.37037037037037,3.76,2.49,19.8,66.66666666666666,0.7777777777777778,1.0833333333333333,0.5263157894736842,0.34210526315789475,0.10526315789473684,3.6666666666666665,0,0,0,72.14311045521939,71.26847561513463,75.0,71.15384615384616,5.0,6.0,70.01616616324279,70.01616616324279,70.01616616324279,0.0,0.0,0.9999999999999998
HBO-000513,2024-01-18,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,54.0,41.0,3.0,10.0,3.0,6.0,5.0,1.0,6.0,5.0,14.0,19.0,12.0,4.0,3.77,9.26,75.92592592592592,1.81,3.22,16.3,83.33333333333334,0.8148148148148148,1.2,0.4634146341463415,0.2926829268292683,0.0975609756097561,4.666666666666667,0,0,0,72.03118534329428,71.74947609613511,70.37037037037037,73.77049180327869,13.0,12.0,70.03700170483854,70.03700170483854,70.03700170483854,0.0,0.0,1.0
HBO-000543,2024-01-19,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,55.0,42.0,1.0,12.0,3.0,7.0,5.0,2.0,8.0,12.0,10.0,22.0,13.0,4.0,4.06,21.82,76.36363636363637,1.27,8.65,18.7,71.42857142857143,0.7818181818181819,0.6666666666666666,0.5238095238095238,0.30952380952380953,0.09523809523809523,3.3333333333333335,0,0,0,72.33910450367246,72.2164882978412,75.92592592592592,78.72340425531915,6.0,5.0,70.36416416156561,70.36416416156561,70.36416416156561,0.0,0.0,1.0
HBO-000573,2024-01-20,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,56.0,39.0,3.0,14.0,3.0,7.0,7.0,5.0,6.0,5.0,6.0,16.0,11.0,3.0,0.5,8.93,69.64285714285714,0.76,9.52,16.1,100.0,0.75,1.2,0.41025641025641024,0.28205128205128205,0.07692307692307693,2.0,0,0,0,72.00199480486063,72.99570907706197,76.36363636363637,66.66666666666666,8.0,12.0,70.67992585641144,70.67992585641144,70.67992585641144,0.893285371702639,0.0,0.9999999999999998
HBO-000603,2024-01-21,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,65.0,50.0,5.0,10.0,4.0,8.0,6.0,5.0,8.0,9.0,13.0,19.0,14.0,4.0,4.36,13.85,76.92307692307693,4.99,4.22,17.933333333333334,75.0,0.8461538461538461,0.8888888888888888,0.38,0.28,0.08,3.25,0,0,0,72.42716487288784,72.75784366062513,69.64285714285714,67.3469387755102,6.0,5.0,70.62807242073373,70.62807242073373,70.62807242073373,0.0,0.0,1.0
HBO-000633,2024-01-22,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,49.0,40.0,3.0,6.0,3.0,6.0,4.0,5.0,6.0,2.0,16.0,16.0,11.0,3.3591370558375635,3.6,4.08,81.63265306122449,0.99,6.69,19.76666666666667,66.66666666666666,0.8775510204081632,3.0,0.4,0.275,0.08397842639593908,5.333333333333333,0,1,0,73.79518460825453,72.56721795979534,76.92307692307693,72.3404255319149,8.0,9.0,70.92783453989293,70.92783453989293,70.92783453989293,0.0,0.0,1.0
HBO-000663,2024-01-23,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,45.0,33.0,4.0,8.0,3.0,5.0,3.0,3.0,2.0,1.0,9.0,21.0,13.0,4.0,1.47,2.22,73.33333333333333,4.1,3.56,21.6,60.0,0.8222222222222222,2.0,0.6363636363636364,0.3939393939393939,0.12121212121212122,3.0,0,0,0,75.12264568387018,73.68114061780734,81.63265306122449,75.0,6.0,2.0,71.41441719995345,71.41441719995345,71.41441719995345,0.0,0.0,0.9999999999999998
HBO-000693,2024-01-24,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,62.0,43.0,4.0,15.0,4.0,7.0,5.0,2.0,5.0,6.0,9.0,23.0,15.0,5.0,2.22,9.68,69.35483870967742,0.93,3.16,18.9,71.42857142857143,0.7580645161290323,0.8333333333333334,0.5348837209302325,0.3488372093023256,0.11627906976744186,2.25,0,0,0,74.88455044577493,73.51383045049717,73.33333333333333,70.37037037037037,2.0,1.0,71.49784833618737,71.49784833618737,71.49784833618737,0.0,0.0,1.0
HBO-000723,2024-01-25,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,32.0,25.0,2.0,5.0,2.0,4.0,3.0,1.0,4.0,4.0,19.0,15.0,8.0,2.0,2.79,16.375,78.125,1.4,1.14,14.7,75.0,0.84375,1.0,0.6,0.32,0.08,9.5,1,0,0,74.73947449424737,73.38532991877082,69.35483870967742,75.92592592592592,5.0,6.0,71.40855626841612,71.40855626841612,71.40855626841612,0.0,0.0,1.0
HBO-000753,2024-01-26,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,44.0,28.0,3.0,13.0,3.0,5.0,3.0,4.0,10.0,9.0,4.0,17.0,9.0,4.0,1.85,20.45,63.63636363636363,0.85,6.17,12.5,60.0,0.7045454545454546,1.1111111111111112,0.6071428571428571,0.32142857142857145,0.14285714285714285,1.3333333333333333,0,0,0,75.0536279334008,73.69636621853662,78.125,76.36363636363637,4.0,4.0,71.67721401767946,71.67721401767946,71.67721401767946,0.0,0.0,0.9999999999999998
HBO-000783,2024-01-27,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,70.0,42.0,1.0,27.0,4.0,8.0,6.0,5.0,7.0,5.0,9.0,15.0,9.0,2.0,1.44,16.375,60.0,0.58,3.56,20.9,75.0,0.6142857142857143,1.4,0.35714285714285715,0.21428571428571427,0.047619047619047616,2.25,0,0,0,73.23544611521899,72.61872046003981,63.63636363636363,69.64285714285714,10.0,9.0,71.36795054147501,71.36795054147501,71.36795054147501,1.893285371702639,0.0,0.9999999999999998
HBO-000813,2024-01-28,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,55.0,43.0,2.0,10.0,3.0,7.0,6.0,2.0,8.0,10.0,11.0,13.0,5.0,3.0,2.47,18.18,78.18181818181819,1.47,5.5,21.0,85.71428571428571,0.8181818181818182,0.8,0.3023255813953488,0.11627906976744186,0.06976744186046512,3.6666666666666665,0,0,0,71.85789509481084,72.14252998384934,60.0,76.92307692307693,7.0,5.0,70.9469153362352,70.9469153362352,70.9469153362352,3.893285371702639,0.0,0.9999999999999998
HBO-000843,2024-01-29,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,70.0,49.0,5.0,16.0,4.0,8.0,5.0,5.0,7.0,3.0,7.0,22.0,13.0,3.3591370558375635,3.6,4.29,70.0,0.42,1.24,19.2,62.5,0.7714285714285715,2.3333333333333335,0.4489795918367347,0.2653061224489796,0.06855381746607273,1.75,0,0,0,72.037715274631,72.91644994144276,78.18181818181819,81.63265306122449,8.0,10.0,71.20530472357746,71.20530472357746,71.20530472357746,0.0,0.0,1.0
HBO-000873,2024-01-30,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,60.0,46.0,4.0,10.0,4.0,7.0,6.0,3.0,9.0,6.0,10.0,16.89328537170264,14.0,6.0,5.86,10.0,76.66666666666667,0.28,2.11,20.65,85.71428571428571,0.8333333333333334,1.5,0.3672453341674487,0.30434782608695654,0.13043478260869565,2.5,0,0,0,70.37590769445607,72.74927668916312,70.0,73.33333333333333,7.0,3.0,71.16374249172996,71.16374249172996,71.16374249172996,0.0,0.0,1.0
HBO-000903,2024-01-31,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,52.0,37.0,2.0,13.0,3.0,6.0,6.0,3.0,8.0,4.0,8.0,19.0,10.566204287515763,4.0,3.49,7.69,71.15384615384616,9.04,5.15,22.1,100.0,0.75,2.0,0.5135135135135135,0.2855730888517774,0.10810810810810811,2.6666666666666665,0,0,0,70.85209817064656,72.86832430821075,76.66666666666667,69.35483870967742,9.0,6.0,71.34717329756117,71.34717329756117,71.34717329756117,0.0,0.0,1.0
HBO-000933,2024-02-01,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,64.0,46.0,4.0,14.0,4.0,8.0,6.0,3.0,9.0,6.0,8.0,26.0,15.0,5.0,3.74,9.38,71.875,0.12,3.06,20.8,75.0,0.78125,1.5,0.5652173913043478,0.32608695652173914,0.10869565217391304,2.0,0,0,0,71.10909923409925,72.9242868641733,71.15384615384616,78.125,8.0,4.0,71.3409369380865,71.3409369380865,,0.0,0.0,1.0
HBO-000963,2024-02-02,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,44.0,31.0,1.0,12.0,3.0,5.0,3.0,4.0,6.0,8.0,17.0,15.0,10.566204287515763,3.3591370558375635,4.97,18.18,70.45454545454545,1.46,4.35,21.5,60.0,0.7272727272727273,0.75,0.4838709677419355,0.34084529959728266,0.10835925986572785,5.666666666666667,0,0,0,70.2162420912421,72.63493501232145,71.875,63.63636363636363,9.0,6.0,71.3576264087713,71.3576264087713,71.87499999999999,0.0,0.0,1.0
HBO-000993,2024-02-03,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,70.0,53.0,4.0,13.0,4.0,8.0,8.0,5.0,7.0,4.0,9.0,19.0,13.0,3.0,3.6,5.71,75.71428571428571,7.19,0.79,21.2,100.0,0.8142857142857143,1.75,0.3584905660377358,0.24528301886792453,0.05660377358490566,2.25,0,0,0,71.19026806526806,72.21285709024353,70.45454545454545,60.0,6.0,8.0,71.3302603192493,71.3302603192493,71.16477272727272,0.0,0.0,1.0
HBO-001023,2024-02-04,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,57.0,32.0,2.0,23.0,3.0,7.0,4.0,6.0,8.0,12.0,11.0,11.0,6.0,2.0,6.53,21.05,56.14035087719298,2.27,3.47,19.9,57.14285714285714,0.5964912280701754,0.6666666666666666,0.34375,0.1875,0.0625,3.6666666666666665,0,0,0,73.43516602445173,72.64653055963127,75.71428571428571,78.18181818181819,7.0,4.0,71.45920224263273,71.45920224263273,72.68127705627705,5.893285371702639,0.0,1.0
HBO-001053,2024-02-05,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,54.0,38.0,1.0,15.0,3.0,6.0,4.0,3.0,8.0,10.0,7.0,16.89328537170264,12.0,4.0,1.25,18.52,70.37037037037037,2.98,0.93,22.5,66.66666666666666,0.7222222222222222,0.8,0.44456014136059574,0.3157894736842105,0.10526315789473684,2.3333333333333335,0,0,0,70.28638498093386,71.16205012778242,56.14035087719298,70.0,8.0,12.0,71.02152077504873,71.02152077504873,68.54604551150602,0.0,0.0,1.0
HBO-001083,2024-02-06,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,57.0,41.0,4.0,12.0,3.0,7.0,7.0,5.0,4.0,0.0,5.0,18.0,11.0,4.0,10.71,0.0,71.9298245614035,4.13,0.83,20.7,100.0,0.7894736842105263,4.0,0.43902439024390244,0.2682926829268293,0.0975609756097561,1.6666666666666667,0,0,0,70.3392950338439,70.35760136415,70.37037037037037,76.66666666666667,8.0,10.0,71.00343326380766,71.00343326380766,68.9109104832789,0.0,0.0,1.0
HBO-001113,2024-02-07,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,42.0,32.0,2.0,8.0,3.0,5.0,5.0,2.0,5.0,8.0,10.0,19.0,12.0,5.0,3.92,16.375,76.19047619047619,1.4,4.98,20.1,100.0,0.8095238095238095,0.625,0.59375,0.375,0.15625,3.3333333333333335,0,0,0,69.6626033045206,70.25735073758358,71.9298245614035,71.15384615384616,4.0,0.0,71.02847086644539,71.02847086644539,69.414062829633,0.0,0.0,1.0
HBO-001143,2024-02-08,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,34.0,27.0,2.0,5.0,2.0,4.0,3.0,3.0,13.0,16.0,7.0,14.0,7.0,3.0,1.22,47.06,79.41176470588235,2.3,4.72,21.0,75.0,0.8529411764705882,0.8125,0.5185185185185185,0.25925925925925924,0.1111111111111111,3.5,1,0,0,70.38212188118203,70.74561055764063,76.19047619047619,71.875,5.0,8.0,71.16431311181462,71.16431311181462,70.38212188118203,0.0,0.0,1.0
HBO-001173,2024-02-09,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,52.0,43.0,3.0,6.0,3.0,6.0,6.0,0.0,6.0,5.0,8.0,23.0,14.0,4.0,4.74,9.62,82.6923076923077,0.1,3.1,21.45,100.0,0.8846153846153846,1.2,0.5348837209302325,0.32558139534883723,0.09302325581395349,2.6666666666666665,0,1,0,71.45880255345094,70.83752232234652,79.41176470588235,70.45454545454545,13.0,16.0,71.37578622961124,71.37578622961124,71.51082723426957,0.0,0.0,1.0
HBO-001203,2024-02-10,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,57.0,44.0,4.0,9.0,3.0,7.0,5.0,3.0,7.0,10.0,12.0,19.0,11.0,3.0,3.5,17.54,77.19298245614034,3.47,1.6,21.9,71.42857142857143,0.8421052631578947,0.7,0.4318181818181818,0.25,0.06818181818181818,4.0,0,0,0,73.20705430170268,72.19866118348537,82.6923076923077,75.71428571428571,6.0,5.0,71.65869926617864,71.65869926617864,72.75321395182935,0.0,0.0,1.0
HBO-001233,2024-02-11,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,42.0,30.0,2.0,10.0,3.0,5.0,3.0,4.0,14.0,16.0,8.0,12.0,6.0,2.0,3.39,38.1,71.42857142857143,4.69,0.33,24.8,60.0,0.7619047619047619,0.875,0.4,0.2,0.06666666666666667,2.6666666666666665,0,0,0,73.4182966933962,73.42673135892396,77.19298245614034,56.14035087719298,7.0,10.0,71.79368178300697,71.79368178300697,73.19719080226045,4.893285371702639,0.0,1.0
HBO-001263,2024-02-12,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,61.0,34.0,4.0,23.0,4.0,7.0,4.0,3.0,6.0,10.0,13.0,17.0,12.0,4.0,2.73,16.39,55.73770491803278,0.42,1.59,21.1,57.14285714285714,0.6229508196721312,0.6,0.5,0.35294117647058826,0.11764705882352941,3.25,0,0,0,75.60232820073598,72.94435659083491,71.42857142857143,70.37037037037037,14.0,16.0,71.78498867932994,71.78498867932994,73.03640722283419,0.0,0.0,1.0
HBO-001293,2024-02-13,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,49.0,32.0,2.0,15.0,3.0,6.0,4.0,3.0,4.0,0.0,7.0,17.0,10.0,3.3591370558375635,3.89,16.375,65.3061224489796,1.14,0.79,22.1,66.66666666666666,0.6938775510204082,4.0,0.53125,0.3125,0.10497303299492386,2.3333333333333335,0,0,0,73.51194742183063,71.92562122783725,55.73770491803278,71.9298245614035,6.0,10.0,71.41179603371837,71.41179603371837,71.59484869743406,0.0,0.0,1.0
HBO-001323,2024-02-14,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,53.0,37.0,2.0,14.0,3.0,6.0,5.0,1.0,7.0,5.0,10.0,20.0,12.0,4.0,1.33,9.43,69.81132075471697,1.31,5.94,23.1,83.33333333333334,0.7358490566037735,1.4,0.5405405405405406,0.32432432432432434,0.10810810810810811,3.3333333333333335,0,0,0,72.56570426291292,71.11415378371676,65.3061224489796,76.19047619047619,4.0,0.0,71.2730307249743,71.2730307249743,71.11110052447603,0.0,0.0,0.9999999999999998
HBO-001353,2024-02-15,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,41.0,28.0,2.0,11.0,2.0,5.0,5.0,2.0,5.0,3.0,7.0,16.89328537170264,11.0,5.0,5.49,7.32,68.29268292682927,2.3,6.89,22.4,100.0,0.7317073170731707,1.6666666666666667,0.6033316204179514,0.39285714285714285,0.17857142857142858,3.5,0,0,0,71.65439634351874,71.01825911235038,69.81132075471697,79.41176470588235,7.0,5.0,71.24054828119081,71.24054828119081,71.01825911235039,0.0,0.0,0.9999999999999998
HBO-001383,2024-02-16,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,1.0,Winter,0.0,50.0,33.0,2.0,15.0,3.0,6.0,4.0,4.0,7.0,8.0,10.0,19.0,12.0,4.0,5.12,16.0,66.0,3.53,4.25,22.25,66.66666666666666,0.7,0.875,0.5757575757575758,0.36363636363636365,0.12121212121212122,3.3333333333333335,0,0,0,70.0659560893683,70.76237932140963,68.29268292682927,82.6923076923077,5.0,3.0,71.17646425174817,71.17646425174817,70.83655403331565,0.0,0.0,0.9999999999999998
